Number 		 labels_org 		 labels_predicted
2601		cause-effect((e1,e2))		cause-effect((e2,e1))
2604		cause-effect((e1,e2))		cause-effect((e2,e1))
2616		cause-effect((e1,e2))		cause-effect((e2,e1))
2641		cause-effect((e2,e1))		cause-effect((e1,e2))
2643		cause-effect((e1,e2))		cause-effect((e2,e1))
2658		cause-effect((e1,e2))		cause-effect((e2,e1))
2659		cause-effect((e2,e1))		cause-effect((e1,e2))
2663		cause-effect((e1,e2))		cause-effect((e2,e1))
2671		cause-effect((e2,e1))		cause-effect((e1,e2))
2694		noncause		cause-effect((e2,e1))
2698		noncause		cause-effect((e2,e1))
2716		cause-effect((e1,e2))		cause-effect((e2,e1))
2744		cause-effect((e1,e2))		cause-effect((e2,e1))
2771		cause-effect((e1,e2))		cause-effect((e2,e1))
2790		cause-effect((e2,e1))		cause-effect((e1,e2))
2807		cause-effect((e2,e1))		cause-effect((e1,e2))
2917		cause-effect((e2,e1))		cause-effect((e1,e2))
2924		cause-effect((e1,e2))		cause-effect((e2,e1))
2925		cause-effect((e1,e2))		cause-effect((e2,e1))
2983		cause-effect((e1,e2))		cause-effect((e2,e1))
2996		cause-effect((e1,e2))		cause-effect((e2,e1))
3015		cause-effect((e1,e2))		cause-effect((e2,e1))
3018		cause-effect((e1,e2))		cause-effect((e2,e1))
3021		cause-effect((e1,e2))		cause-effect((e2,e1))
3034		cause-effect((e1,e2))		cause-effect((e2,e1))
3056		cause-effect((e1,e2))		cause-effect((e2,e1))
3062		cause-effect((e1,e2))		cause-effect((e2,e1))
3064		cause-effect((e1,e2))		cause-effect((e2,e1))
3139		cause-effect((e2,e1))		cause-effect((e1,e2))
3235		cause-effect((e2,e1))		cause-effect((e1,e2))
3242		cause-effect((e1,e2))		cause-effect((e2,e1))
3290		cause-effect((e2,e1))		cause-effect((e1,e2))
3297		cause-effect((e1,e2))		cause-effect((e2,e1))
3299		cause-effect((e1,e2))		cause-effect((e2,e1))
3322		cause-effect((e1,e2))		cause-effect((e2,e1))
3350		cause-effect((e1,e2))		cause-effect((e2,e1))
3351		cause-effect((e2,e1))		cause-effect((e1,e2))
3360		cause-effect((e2,e1))		cause-effect((e1,e2))
3367		cause-effect((e1,e2))		cause-effect((e2,e1))
3398		cause-effect((e2,e1))		cause-effect((e1,e2))
3446		cause-effect((e1,e2))		cause-effect((e2,e1))
3459		cause-effect((e1,e2))		cause-effect((e2,e1))
3463		cause-effect((e1,e2))		cause-effect((e2,e1))
3464		cause-effect((e2,e1))		cause-effect((e1,e2))
3474		cause-effect((e1,e2))		cause-effect((e2,e1))
3476		cause-effect((e1,e2))		cause-effect((e2,e1))
3516		cause-effect((e2,e1))		cause-effect((e1,e2))
3550		cause-effect((e2,e1))		cause-effect((e1,e2))
3553		cause-effect((e1,e2))		noncause
3580		cause-effect((e1,e2))		cause-effect((e2,e1))
3593		cause-effect((e1,e2))		cause-effect((e2,e1))
3595		cause-effect((e2,e1))		cause-effect((e1,e2))
3604		cause-effect((e1,e2))		cause-effect((e2,e1))
3605		cause-effect((e2,e1))		cause-effect((e1,e2))
3616		cause-effect((e1,e2))		cause-effect((e2,e1))
3617		cause-effect((e2,e1))		cause-effect((e1,e2))
3618		cause-effect((e2,e1))		cause-effect((e1,e2))
3663		cause-effect((e1,e2))		cause-effect((e2,e1))
3683		cause-effect((e2,e1))		cause-effect((e1,e2))
3695		cause-effect((e1,e2))		cause-effect((e2,e1))
3722		cause-effect((e2,e1))		cause-effect((e1,e2))
3759		cause-effect((e1,e2))		cause-effect((e2,e1))
3810		cause-effect((e2,e1))		cause-effect((e1,e2))
3819		cause-effect((e2,e1))		cause-effect((e1,e2))
3820		noncause		cause-effect((e2,e1))
3873		cause-effect((e2,e1))		cause-effect((e1,e2))
3890		cause-effect((e2,e1))		noncause
3892		noncause		cause-effect((e2,e1))
3919		cause-effect((e2,e1))		cause-effect((e1,e2))
3937		cause-effect((e2,e1))		cause-effect((e1,e2))
3976		cause-effect((e2,e1))		cause-effect((e1,e2))
3996		cause-effect((e1,e2))		cause-effect((e2,e1))
4033		cause-effect((e2,e1))		cause-effect((e1,e2))
4037		cause-effect((e2,e1))		cause-effect((e1,e2))
4051		cause-effect((e1,e2))		cause-effect((e2,e1))
4081		cause-effect((e2,e1))		cause-effect((e1,e2))
4108		noncause		cause-effect((e2,e1))
4119		cause-effect((e2,e1))		cause-effect((e1,e2))
4129		cause-effect((e1,e2))		cause-effect((e2,e1))
4140		cause-effect((e2,e1))		noncause
4159		cause-effect((e2,e1))		cause-effect((e1,e2))
4206		cause-effect((e1,e2))		cause-effect((e2,e1))
4208		cause-effect((e1,e2))		cause-effect((e2,e1))
4224		cause-effect((e2,e1))		cause-effect((e1,e2))
4245		cause-effect((e2,e1))		cause-effect((e1,e2))
4249		noncause		cause-effect((e2,e1))
4263		cause-effect((e2,e1))		cause-effect((e1,e2))
4265		cause-effect((e2,e1))		cause-effect((e1,e2))
4269		cause-effect((e2,e1))		cause-effect((e1,e2))
4271		cause-effect((e2,e1))		cause-effect((e1,e2))
4279		cause-effect((e2,e1))		cause-effect((e1,e2))
4281		cause-effect((e2,e1))		cause-effect((e1,e2))
4283		cause-effect((e2,e1))		cause-effect((e1,e2))
4288		cause-effect((e2,e1))		cause-effect((e1,e2))
4289		cause-effect((e2,e1))		cause-effect((e1,e2))
4300		cause-effect((e2,e1))		cause-effect((e1,e2))
4308		cause-effect((e1,e2))		cause-effect((e2,e1))
4324		cause-effect((e2,e1))		cause-effect((e1,e2))
4354		cause-effect((e2,e1))		cause-effect((e1,e2))
4357		cause-effect((e2,e1))		cause-effect((e1,e2))
4381		cause-effect((e1,e2))		cause-effect((e2,e1))
4388		cause-effect((e1,e2))		cause-effect((e2,e1))
4446		cause-effect((e2,e1))		cause-effect((e1,e2))
4509		cause-effect((e1,e2))		cause-effect((e2,e1))
4510		cause-effect((e2,e1))		cause-effect((e1,e2))
4553		cause-effect((e2,e1))		cause-effect((e1,e2))
4587		cause-effect((e2,e1))		cause-effect((e1,e2))
4671		cause-effect((e1,e2))		cause-effect((e2,e1))
4681		cause-effect((e2,e1))		cause-effect((e1,e2))
4685		cause-effect((e1,e2))		cause-effect((e2,e1))
4737		noncause		cause-effect((e2,e1))
4738		cause-effect((e1,e2))		cause-effect((e2,e1))
4746		cause-effect((e2,e1))		cause-effect((e1,e2))
4774		cause-effect((e1,e2))		cause-effect((e2,e1))
4778		cause-effect((e1,e2))		cause-effect((e2,e1))
4781		cause-effect((e1,e2))		cause-effect((e2,e1))
4789		cause-effect((e1,e2))		cause-effect((e2,e1))
4795		cause-effect((e1,e2))		cause-effect((e2,e1))
4804		cause-effect((e1,e2))		cause-effect((e2,e1))
4807		cause-effect((e2,e1))		cause-effect((e1,e2))
4834		cause-effect((e2,e1))		cause-effect((e1,e2))
4847		cause-effect((e2,e1))		cause-effect((e1,e2))
4867		cause-effect((e2,e1))		cause-effect((e1,e2))
4868		cause-effect((e2,e1))		cause-effect((e1,e2))
4879		cause-effect((e1,e2))		cause-effect((e2,e1))
4908		cause-effect((e2,e1))		cause-effect((e1,e2))
4952		cause-effect((e2,e1))		cause-effect((e1,e2))
4958		cause-effect((e1,e2))		cause-effect((e2,e1))
4964		cause-effect((e1,e2))		cause-effect((e2,e1))
5025		cause-effect((e2,e1))		cause-effect((e1,e2))
5038		cause-effect((e1,e2))		cause-effect((e2,e1))
5053		cause-effect((e1,e2))		cause-effect((e2,e1))
5061		cause-effect((e1,e2))		cause-effect((e2,e1))
5082		cause-effect((e2,e1))		cause-effect((e1,e2))
5104		cause-effect((e1,e2))		cause-effect((e2,e1))
5108		cause-effect((e1,e2))		cause-effect((e2,e1))
5152		cause-effect((e1,e2))		cause-effect((e2,e1))
5155		cause-effect((e2,e1))		cause-effect((e1,e2))
5185		cause-effect((e2,e1))		cause-effect((e1,e2))
5214		cause-effect((e2,e1))		cause-effect((e1,e2))
5226		cause-effect((e1,e2))		cause-effect((e2,e1))
5244		cause-effect((e1,e2))		cause-effect((e2,e1))
5261		cause-effect((e1,e2))		cause-effect((e2,e1))
5289		cause-effect((e2,e1))		cause-effect((e1,e2))
